PAIS,DensidadPob_Per_km2_BM,IndiceDePobreza__1__dia_OMS_2015,GrossNationaLINCOMEPerCapita____OMS_2014,Poblacion_EnAreaUrbanaOMS,EdadPromedio_OMS_2013,IndiceDeGini_BM,Conectividad_PasajerosTransportadosEnMilesEnUnA_o_BM_2018,EscolaridadAnosPromedio_UN2018,ExpdeVidaAlNacer_UN_2018,x_TasaDeMortalidad_29_4_20,Tests_MillonPop_29_4_20,CPI_2018_TransparenciaInternacional,x_Habitantes_EnMiles__BM_2018
Honduras,86,16.5,4190,51.7,21.9,52.1,411.99,10.2,73.8,8.94,368,29,9587.52
US,36,2,52620,80.8,37.4,41.4,889022,16.3,78.9,5.77,375,71,326687.5
China All,148,6.3,10890,49.2,37.4,38.4,611439.83,13.8,76.4,5.59,NaN,39,1392730
Mexico,65,2,15910,77.8,27,45.4,64569.64,14.1,77.3,9.36,597,28,126190.79
Guatemala,161,13.7,6920,49.3,19.4,48.3,145.79,10.8,73.7,2.87,402,27,17247.81
El.Salvador,310,2.5,7290,64.3,24.1,38.6,2545.11,12.6,73.8,2.38,3483,35,6420.74
Panama,56,4,16620,65.1,27.9,49.2,12939.35,12.9,78.3,2.83,6674,37,4176.87
Dominican.Republic,220,2.3,10790,73.8,25.8,43.7,11.9,13.7,74,4.4,2339,30,10627.17
Haiti,404,61.7,1640,52,22.2,41.1,NaN,9.3,63.6,7.89,68,20,11123.18
Costa.Rica,98,2,13140,71.7,29.7,48,1948.55,15.4,80.1,0.84,2575,56,49648.68
Ecuador,69,4,9920,62.7,26.1,45.4,5365.26,14.7,76.6,3.59,3487,34,17084.36
Colombia,45,5.6,11340,75,27.7,50.4,33704.04,14.4,74.6,4.52,1786,36,49648.68
Chile,25,2,20140,88.6,33.1,44.4,19517.19,16.5,80,9.45,9030,67,25216.24
Argentina,16,2,12370,91,31.1,41.4,18091.94,17.6,76.5,5.01,1240,40,44494.5
Peru,25,2.9,10770,76.9,26.5,42.8,17758.53,13.8,75.2,2.73,8116,35,31989.26
Uruguay,20,2,17980,94.4,34.4,39.7,563.63,15.9,77.6,2.4,5222,70,3449.3
Bolivia,10,8,5400,66.4,22.4,42.2,4122.11,14,69.5,5.22,496,29,11353.14
