"PAIS","Honduras","US","China All","Mexico","Guatemala","El Salvador","Panama","Dominican Republic","Haiti","Costa Rica","Ecuador","Colombia","Chile","Argentina","Peru","Uruguay","Bolivia","Paraguay","Venezuela","Brazil","Italy","Germany","Spain","France All","Denmark All","Romania","Lithuania","Latvia","Croatia","Bulgaria","United Kingdom All","Ethiopia","Zambia","Namibia","Cabo Verde","Morocco","Egypt","South Africa","Gambia","Ghana","Bangladesh","India","Indonesia","Iraq","Malaysia","Nepal","Pakistan","Philippines","Thailand","Uzbekistan","Vietnam","Kyrgyzstan"
"Inicio_Cuarentena","17-Mar-2020","20-Mar-2020","23-Jan-2020","16-Mar-2020","21-Mar-2020","12-Mar-2020","25-Mar-2020","19-Mar-2020","02-Apr-2020","23-Mar-2020","16-Mar-2020","25-Mar-2020","26-Mar-2020","19-Mar-2020","16-Mar-2020","05-May-2020","22-Mar-2020","11-Mar-2020","17-Mar-2020","17-Mar-2020","09-Mar-2020","20-Mar-2020","15-Mar-2020","17-Mar-2020","11-Mar-2020","25-Mar-2020","16-Mar-2020","01-Apr-2020","18-Mar-2020","14-Mar-2020","23-Mar-2020","30-Mar-2020","25-Mar-2020","17-Mar-2020","27-Mar-2020","19-Mar-2020","22-Mar-2020","26-Mar-2020","28-Mar-2020","30-Mar-2020","26-Mar-2020","25-Mar-2020","26-Mar-2020","22-Mar-2020","18-Mar-2020","24-Mar-2020","22-Mar-2020","15-Mar-2020","25-Mar-2020","20-Mar-2020","31-Mar-2020","24-Mar-2020"
"DaysNoQuar","6","58","18","17","7","-7","15","18","13","17","15","19","23","16","10","52","11","3","3","20","38","53","43","53","13","28","17","30","22","6","52","17","7","3","7","17","37","21","11","16","18","55","24","27","53","59","25","45","63","5","68","6"
"DaysWithCV19","51","100","118","63","48","43","52","61","42","56","61","56","59","59","56","48","51","54","48","65","91","95","90","98","64","65","63","60","66","54","91","49","44","48","42","60","77","57","45","48","54","92","60","67","97","97","65","92","100","47","99","44"
"T1","2","1","9","1","1","1","1","1","2","1","6","1","1","1","1","4","2","1","2","1","2","1","1","2","1","1","1","1","1","4","2","1","2","2","1","1","1","1","1","3","3","1","2","1","3","1","2","1","2","1","2","3"
"T2","2","1","12","4","1","1","8","1","2","1","6","1","1","1","1","4","2","1","10","1","2","4","1","3","1","1","1","1","3","4","2","1","2","2","3","1","1","1","1","6","3","1","2","1","4","1","2","1","3","6","2","3"
"T3","2","2","16","5","2","3","11","1","2","5","7","1","4","1","6","8","3","1","17","1","2","4","1","3","3","3","1","1","3","4","2","1","2","2","3","1","1","1","1","6","3","1","2","5","4","1","2","1","5","10","2","6"
"T4","2","2","20","5","6","3","27","1","6","9","10","1","4","2","7","29","10","5","33","2","2","4","1","3","4","3","1","1","5","7","2","5","2","2","3","2","1","3","1","7","3","2","2","7","4","1","4","2","7","15","2","14"
"T5","3","5","25","5","6","3","36","1","7","9","13","3","4","8","11","50","10","5","36","2","2","5","1","4","4","3","1","1","6","7","2","5","3","2","3","2","1","3","1","7","3","3","4","7","7","1","4","2","8","23","2","14"
"T6","6","5","31","5","9","5","43","2","8","13","13","9","8","12","11","79","11","6","42","2","2","8","1","5","6","3","1","1","7","23","2","6","3","3","4","2","1","7","1","11","3","3","4","13","8","1","4","2","8","33","2","16"
"T7","8","5","39","5","12","9","55","2","8","22","13","9","8","12","15","94","11","6","42","2","2","10","1","5","11","3","1","2","7","41","2","6","3","3","4","2","1","13","2","16","3","3","6","19","8","1","5","2","14","43","2","42"
